"Municipality","MunicipalityID","Year","PcgEduSuperior","PcgEduMediaSuperior","PcgEduBasico","PcgSinEdu"
"Cajeme",26018,2017,27.4524431182395,21.5964192465498,48.3774710928758,2.57366654233495
"Cajeme",26018,2018,30.3643724696356,20.8906882591093,46.3562753036437,2.38866396761134
"Cajeme",26018,2019,29.0004113533525,20.6910736322501,48.1283422459893,2.18017276840806
"Cajeme",26018,2020,29.7695262483995,19.910371318822,47.7592829705506,2.56081946222791
"Cajeme",26018,2021,34.0160284951024,25.2448797862867,38.8245770258237,1.91451469278718
"Cajeme",26018,2022,29.9703264094956,26.3353115727003,41.1721068249258,2.52225519287834
"Cananea",26019,2010,7.27272727272727,16.3636363636364,70.9090909090909,5.45454545454545
"Cananea",26019,2011,8.60215053763441,25.8064516129032,63.4408602150538,2.1505376344086
"Cananea",26019,2012,10.9979633401222,25.2545824847251,62.1181262729124,1.62932790224033
"Cananea",26019,2013,14.8837209302326,26.046511627907,56.9767441860465,2.09302325581395
"Cananea",26019,2014,21.5116279069767,21.5116279069767,55.8139534883721,1.16279069767442
"Cananea",26019,2015,15.0649350649351,18.4415584415584,63.8961038961039,2.5974025974026
"Cananea",26019,2016,19.8095238095238,25.7142857142857,52,2.47619047619048
"Cananea",26019,2017,30.9128630705394,30.7053941908714,38.3817427385892,0
"Cananea",26019,2018,43.3070866141732,25.7217847769029,29.9212598425197,1.0498687664042
"Cananea",26019,2019,32.0359281437126,26.6467065868263,41.0179640718563,0.29940119760479
"Cananea",26019,2020,35.9116022099448,27.0718232044199,37.0165745856354,0
"Cananea",26019,2021,66.6666666666667,33.3333333333333,0,0
"Cumpas",26023,2010,14.6551724137931,15.8045977011494,68.9655172413793,0.574712643678161
"Cumpas",26023,2011,15.7894736842105,18.5354691075515,62.0137299771167,3.66132723112128
"Cumpas",26023,2012,16.7487684729064,20.1970443349754,59.1133004926108,3.94088669950739
"Cumpas",26023,2013,21.2264150943396,28.5377358490566,48.5849056603774,1.65094339622642
"Cumpas",26023,2014,28.2828282828283,24.2424242424242,47.4747474747475,0
"Cumpas",26023,2015,25.8278145695364,31.7880794701987,42.3841059602649,0
"Empalme",26025,2010,9.92063492063492,21.031746031746,60.3174603174603,8.73015873015873
"Empalme",26025,2011,12.1134020618557,15.4639175257732,65.4639175257732,6.95876288659794
"Empalme",26025,2012,6.89655172413793,18.6781609195402,68.9655172413793,5.45977011494253
"Empalme",26025,2013,16.1793372319688,22.6120857699805,58.2846003898635,2.92397660818713
"Empalme",26025,2014,21.7616580310881,25.3886010362694,51.0362694300518,1.81347150259067
"Empalme",26025,2015,15.2293577981651,22.5688073394495,59.6330275229358,2.56880733944954
"Empalme",26025,2016,22.9960578186597,20.7621550591327,53.3508541392904,2.89093298291721
"Empalme",26025,2017,29.1666666666667,17.5287356321839,48.8505747126437,4.45402298850575
"Empalme",26025,2018,28.3653846153846,16.3461538461538,50.9615384615385,4.32692307692308
"Empalme",26025,2019,23.4714003944773,15.7790927021696,57.9881656804734,2.76134122287968
"Empalme",26025,2020,28.0701754385965,19.7368421052632,50,2.19298245614035
"Empalme",26025,2021,19.6569920844327,20.0527704485488,58.5751978891821,1.71503957783641
"Empalme",26025,2022,16.9014084507042,22.5352112676056,58.6854460093897,1.87793427230047
"Etchojoa",26026,2010,8.62068965517241,25,62.9310344827586,3.44827586206897
"Etchojoa",26026,2011,7.57575757575758,8.08080808080808,84.3434343434343,0
"Etchojoa",26026,2012,2.83018867924528,14.1509433962264,77.3584905660377,5.66037735849057
"Etchojoa",26026,2013,2.67857142857143,17.5,73.9285714285714,5.89285714285714
"Etchojoa",26026,2014,6.60550458715596,15.5963302752294,71.3761467889908,6.42201834862385
